Question,Response,processed_question,processed_response,question_seq,response_seq,padded_question,padded_response
yes i guess most of us are stuck in a routine,i wonder if there is any job that you do not repeat over and over,"['yes', 'i', 'guess', 'most', 'of', 'u', 'are', 'stuck', 'in', 'a', 'routine']","['i', 'wonder', 'if', 'there', 'is', 'any', 'job', 'that', 'you', 'do', 'not', 'repeat', 'over', 'and', 'over']","[97, 6, 561, 170, 56, 240, 3, 1757, 23, 37, 1805]","[6, 1081, 92, 34, 35, 135, 325, 58, 4, 27, 53, 2194, 120, 94, 120]","[97, 6, 561, 170, 56, 240, 3, 1757, 23, 37, 1805, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 1081, 92, 34, 35, 135, 325, 58, 4, 27, 53, 2194, 120, 94, 120, 0, 0, 0, 0, 0]"
i think i have the worst boss in the world,what makes him so bad,"['i', 'think', 'i', 'have', 'the', 'worst', 'bos', 'in', 'the', 'world']","['what', 'make', 'him', 'so', 'bad']","[6, 75, 6, 19, 78, 1484, 337, 23, 78, 785]","[22, 168, 764, 18, 54]","[6, 75, 6, 19, 78, 1484, 337, 23, 78, 785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 168, 764, 18, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what makes him so bad,he is rude and he yells a lot,"['what', 'make', 'him', 'so', 'bad']","['he', 'is', 'rude', 'and', 'he', 'yell', 'a', 'lot']","[22, 168, 764, 18, 54]","[628, 35, 784, 94, 628, 944, 37, 55]","[22, 168, 764, 18, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[628, 35, 784, 94, 628, 944, 37, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
he is rude and he yells a lot,that is hard to take,"['he', 'is', 'rude', 'and', 'he', 'yell', 'a', 'lot']","['that', 'is', 'hard', 'to', 'take']","[628, 35, 784, 94, 628, 944, 37, 55]","[58, 35, 467, 29, 196]","[628, 35, 784, 94, 628, 944, 37, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[58, 35, 467, 29, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that is hard to take,i have never heard him say please or thank you,"['that', 'is', 'hard', 'to', 'take']","['i', 'have', 'never', 'heard', 'him', 'say', 'please', 'or', 'thank', 'you']","[58, 35, 467, 29, 196]","[6, 19, 45, 179, 764, 199, 220, 237, 62, 4]","[58, 35, 467, 29, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 19, 45, 179, 764, 199, 220, 237, 62, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i have never heard him say please or thank you,he sounds like a real jerk,"['i', 'have', 'never', 'heard', 'him', 'say', 'please', 'or', 'thank', 'you']","['he', 'sound', 'like', 'a', 'real', 'jerk']","[6, 19, 45, 179, 764, 199, 220, 237, 62, 4]","[628, 177, 32, 37, 1406, 941]","[6, 19, 45, 179, 764, 199, 220, 237, 62, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[628, 177, 32, 37, 1406, 941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
he sounds like a real jerk,no one at work likes him,"['he', 'sound', 'like', 'a', 'real', 'jerk']","['no', 'one', 'at', 'work', 'like', 'him']","[628, 177, 32, 37, 1406, 941]","[16, 124, 171, 332, 32, 764]","[628, 177, 32, 37, 1406, 941, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[16, 124, 171, 332, 32, 764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
no one at work likes him,cannot you report him to his supervisor,"['no', 'one', 'at', 'work', 'like', 'him']","['cannot', 'you', 'report', 'him', 'to', 'his', 'supervisor']","[16, 124, 171, 332, 32, 764]","[102, 4, 1806, 764, 29, 805, 1807]","[16, 124, 171, 332, 32, 764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[102, 4, 1806, 764, 29, 805, 1807, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cannot you report him to his supervisor,of course not if i do that i will lose my job,"['cannot', 'you', 'report', 'him', 'to', 'his', 'supervisor']","['of', 'course', 'not', 'if', 'i', 'do', 'that', 'i', 'will', 'lose', 'my', 'job']","[102, 4, 1806, 764, 29, 805, 1807]","[56, 512, 53, 92, 6, 27, 58, 6, 158, 838, 69, 325]","[102, 4, 1806, 764, 29, 805, 1807, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 512, 53, 92, 6, 27, 58, 6, 158, 838, 69, 325, 0, 0, 0, 0, 0, 0, 0, 0]"
of course not if i do that i will lose my job,yes they do not like troublemakers or complainers,"['of', 'course', 'not', 'if', 'i', 'do', 'that', 'i', 'will', 'lose', 'my', 'job']","['yes', 'they', 'do', 'not', 'like', 'trouble', '##makers', 'or', 'complain', '##ers']","[56, 512, 53, 92, 6, 27, 58, 6, 158, 838, 69, 325]","[97, 348, 27, 53, 32, 493, 1808, 237, 1645, 1809]","[56, 512, 53, 92, 6, 27, 58, 6, 158, 838, 69, 325, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 348, 27, 53, 32, 493, 1808, 237, 1645, 1809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes they do not like troublemakers or complainers,i cannot quit because i am making a good salary,"['yes', 'they', 'do', 'not', 'like', 'trouble', '##makers', 'or', 'complain', '##ers']","['i', 'cannot', 'quit', 'because', 'i', 'am', 'making', 'a', 'good', 'salary']","[97, 348, 27, 53, 32, 493, 1808, 237, 1645, 1809]","[6, 102, 1365, 151, 6, 7, 1810, 37, 12, 1811]","[97, 348, 27, 53, 32, 493, 1808, 237, 1645, 1809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 102, 1365, 151, 6, 7, 1810, 37, 12, 1811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i cannot quit because i am making a good salary,you should not choose money over happiness,"['i', 'cannot', 'quit', 'because', 'i', 'am', 'making', 'a', 'good', 'salary']","['you', 'should', 'not', 'choose', 'money', 'over', 'happiness']","[6, 102, 1365, 151, 6, 7, 1810, 37, 12, 1811]","[4, 81, 53, 2195, 606, 120, 2196]","[6, 102, 1365, 151, 6, 7, 1810, 37, 12, 1811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 81, 53, 2195, 606, 120, 2196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what are we going to do,about what,"['what', 'are', 'we', 'going', 'to', 'do']","['about', 'what']","[22, 3, 190, 43, 29, 27]","[9, 22]","[22, 3, 190, 43, 29, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
about what,about finding a job for me,"['about', 'what']","['about', 'finding', 'a', 'job', 'for', 'me']","[9, 22]","[9, 1018, 37, 325, 14, 100]","[9, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 1018, 37, 325, 14, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
about finding a job for me,you do not need a job i make enough money for both of us,"['about', 'finding', 'a', 'job', 'for', 'me']","['you', 'do', 'not', 'need', 'a', 'job', 'i', 'make', 'enough', 'money', 'for', 'both', 'of', 'u']","[9, 1018, 37, 325, 14, 100]","[4, 27, 53, 258, 37, 325, 6, 168, 604, 606, 14, 443, 56, 240]","[9, 1018, 37, 325, 14, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 27, 53, 258, 37, 325, 6, 168, 604, 606, 14, 443, 56, 240, 0, 0, 0, 0, 0, 0]"
you do not need a job i make enough money for both of us,that does not matter i do not want to sit around,"['you', 'do', 'not', 'need', 'a', 'job', 'i', 'make', 'enough', 'money', 'for', 'both', 'of', 'u']","['that', 'doe', 'not', 'matter', 'i', 'do', 'not', 'want', 'to', 'sit', 'around']","[4, 27, 53, 258, 37, 325, 6, 168, 604, 606, 14, 443, 56, 240]","[58, 112, 53, 657, 6, 27, 53, 126, 29, 1419, 273]","[4, 27, 53, 258, 37, 325, 6, 168, 604, 606, 14, 443, 56, 240, 0, 0, 0, 0, 0, 0]","[58, 112, 53, 657, 6, 27, 53, 126, 29, 1419, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
that does not matter i do not want to sit around,okay what kind of job do you want,"['that', 'doe', 'not', 'matter', 'i', 'do', 'not', 'want', 'to', 'sit', 'around']","['okay', 'what', 'kind', 'of', 'job', 'do', 'you', 'want']","[58, 112, 53, 657, 6, 27, 53, 126, 29, 1419, 273]","[36, 22, 276, 56, 325, 27, 4, 126]","[58, 112, 53, 657, 6, 27, 53, 126, 29, 1419, 273, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 22, 276, 56, 325, 27, 4, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
okay what kind of job do you want,i am not sure,"['okay', 'what', 'kind', 'of', 'job', 'do', 'you', 'want']","['i', 'am', 'not', 'sure']","[36, 22, 276, 56, 325, 27, 4, 126]","[6, 7, 53, 234]","[36, 22, 276, 56, 325, 27, 4, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 7, 53, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i am not sure,well you should do something that you enjoy,"['i', 'am', 'not', 'sure']","['well', 'you', 'should', 'do', 'something', 'that', 'you', 'enjoy']","[6, 7, 53, 234]","[44, 4, 81, 27, 238, 58, 4, 129]","[6, 7, 53, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[44, 4, 81, 27, 238, 58, 4, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
well you should do something that you enjoy,i enjoy selling i was born to sell,"['well', 'you', 'should', 'do', 'something', 'that', 'you', 'enjoy']","['i', 'enjoy', 'selling', 'i', 'wa', 'born', 'to', 'sell']","[44, 4, 81, 27, 238, 58, 4, 129]","[6, 129, 1708, 6, 95, 834, 29, 1812]","[44, 4, 81, 27, 238, 58, 4, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 129, 1708, 6, 95, 834, 29, 1812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i enjoy selling i was born to sell,okay what do you want to sell,"['i', 'enjoy', 'selling', 'i', 'wa', 'born', 'to', 'sell']","['okay', 'what', 'do', 'you', 'want', 'to', 'sell']","[6, 129, 1708, 6, 95, 834, 29, 1812]","[36, 22, 27, 4, 126, 29, 1812]","[6, 129, 1708, 6, 95, 834, 29, 1812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[36, 22, 27, 4, 126, 29, 1812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
okay what do you want to sell,cigarette lighters i will make a fortune,"['okay', 'what', 'do', 'you', 'want', 'to', 'sell']","['cigarette', 'lighter', '##s', 'i', 'will', 'make', 'a', 'fortune']","[36, 22, 27, 4, 126, 29, 1812]","[1053, 1813, 64, 6, 158, 168, 37, 1814]","[36, 22, 27, 4, 126, 29, 1812, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1053, 1813, 64, 6, 158, 168, 37, 1814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cigarette lighters i will make a fortune,but you hate cigarettes and you hate smoking,"['cigarette', 'lighter', '##s', 'i', 'will', 'make', 'a', 'fortune']","['but', 'you', 'hate', 'cigarette', 'and', 'you', 'hate', 'smoking']","[1053, 1813, 64, 6, 158, 168, 37, 1814]","[106, 4, 559, 1053, 94, 4, 559, 1627]","[1053, 1813, 64, 6, 158, 168, 37, 1814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[106, 4, 559, 1053, 94, 4, 559, 1627, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a new hotel is looking for workers,yes i saw it on the tv news,"['a', 'new', 'hotel', 'is', 'looking', 'for', 'worker']","['yes', 'i', 'saw', 'it', 'on', 'the', 'tv', 'news']","[37, 262, 812, 35, 863, 14, 1510]","[97, 6, 400, 33, 200, 78, 641, 323]","[37, 262, 812, 35, 863, 14, 1510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[97, 6, 400, 33, 200, 78, 641, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
yes i saw it on the tv news,they need new workers,"['yes', 'i', 'saw', 'it', 'on', 'the', 'tv', 'news']","['they', 'need', 'new', 'worker']","[97, 6, 400, 33, 200, 78, 641, 323]","[348, 258, 262, 1510]","[97, 6, 400, 33, 200, 78, 641, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[348, 258, 262, 1510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
they need new workers,and people showed up,"['they', 'need', 'new', 'worker']","['and', 'people', 'showed', 'up']","[348, 258, 262, 1510]","[94, 57, 960, 227]","[348, 258, 262, 1510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[94, 57, 960, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
and people showed up,so many people are out of work,"['and', 'people', 'showed', 'up']","['so', 'many', 'people', 'are', 'out', 'of', 'work']","[94, 57, 960, 227]","[18, 544, 57, 3, 165, 56, 332]","[94, 57, 960, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 544, 57, 3, 165, 56, 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
so many people are out of work,i still have my job thank goodness,"['so', 'many', 'people', 'are', 'out', 'of', 'work']","['i', 'still', 'have', 'my', 'job', 'thank', 'goodness']","[18, 544, 57, 3, 165, 56, 332]","[6, 309, 19, 69, 325, 62, 1385]","[18, 544, 57, 3, 165, 56, 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 309, 19, 69, 325, 62, 1385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i still have my job thank goodness,so do i but i am worried,"['i', 'still', 'have', 'my', 'job', 'thank', 'goodness']","['so', 'do', 'i', 'but', 'i', 'am', 'worried']","[6, 309, 19, 69, 325, 62, 1385]","[18, 27, 6, 106, 6, 7, 1033]","[6, 309, 19, 69, 325, 62, 1385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 27, 6, 106, 6, 7, 1033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
so do i but i am worried,me too there are no guarantees,"['so', 'do', 'i', 'but', 'i', 'am', 'worried']","['me', 'too', 'there', 'are', 'no', 'guarantee']","[18, 27, 6, 106, 6, 7, 1033]","[100, 101, 34, 3, 16, 1815]","[18, 27, 6, 106, 6, 7, 1033, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100, 101, 34, 3, 16, 1815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
me too there are no guarantees,if you lose your job you can move in with me,"['me', 'too', 'there', 'are', 'no', 'guarantee']","['if', 'you', 'lose', 'your', 'job', 'you', 'can', 'move', 'in', 'with', 'me']","[100, 101, 34, 3, 16, 1815]","[92, 4, 838, 247, 325, 4, 152, 1625, 23, 42, 100]","[100, 101, 34, 3, 16, 1815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[92, 4, 838, 247, 325, 4, 152, 1625, 23, 42, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
if you lose your job you can move in with me,oh thank you that is very nice of you,"['if', 'you', 'lose', 'your', 'job', 'you', 'can', 'move', 'in', 'with', 'me']","['oh', 'thank', 'you', 'that', 'is', 'very', 'nice', 'of', 'you']","[92, 4, 838, 247, 325, 4, 152, 1625, 23, 42, 100]","[230, 62, 4, 58, 35, 114, 115, 56, 4]","[92, 4, 838, 247, 325, 4, 152, 1625, 23, 42, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[230, 62, 4, 58, 35, 114, 115, 56, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oh thank you that is very nice of you,you would do the same for me,"['oh', 'thank', 'you', 'that', 'is', 'very', 'nice', 'of', 'you']","['you', 'would', 'do', 'the', 'same', 'for', 'me']","[230, 62, 4, 58, 35, 114, 115, 56, 4]","[4, 82, 27, 78, 160, 14, 100]","[230, 62, 4, 58, 35, 114, 115, 56, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 82, 27, 78, 160, 14, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you would do the same for me,of course what are friends for,"['you', 'would', 'do', 'the', 'same', 'for', 'me']","['of', 'course', 'what', 'are', 'friend', 'for']","[4, 82, 27, 78, 160, 14, 100]","[56, 512, 22, 3, 474, 14]","[4, 82, 27, 78, 160, 14, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 512, 22, 3, 474, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i think i did something real stupid,what did you do,"['i', 'think', 'i', 'did', 'something', 'real', 'stupid']","['what', 'did', 'you', 'do']","[6, 75, 6, 139, 238, 1406, 1231]","[22, 139, 4, 27]","[6, 75, 6, 139, 238, 1406, 1231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 139, 4, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what did you do,i bought some stock,"['what', 'did', 'you', 'do']","['i', 'bought', 'some', 'stock']","[22, 139, 4, 27]","[6, 356, 138, 1816]","[22, 139, 4, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 356, 138, 1816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i bought some stock,everybody buys stock,"['i', 'bought', 'some', 'stock']","['everybody', 'buy', 'stock']","[6, 356, 138, 1816]","[679, 359, 1816]","[6, 356, 138, 1816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[679, 359, 1816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
everybody buys stock,i bought it on a hunch,"['everybody', 'buy', 'stock']","['i', 'bought', 'it', 'on', 'a', 'hu', '##nch']","[679, 359, 1816]","[6, 356, 33, 200, 37, 1817, 1818]","[679, 359, 1816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 356, 33, 200, 37, 1817, 1818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i bought it on a hunch,you did not read about the company first,"['i', 'bought', 'it', 'on', 'a', 'hu', '##nch']","['you', 'did', 'not', 'read', 'about', 'the', 'company', 'first']","[6, 356, 33, 200, 37, 1817, 1818]","[4, 139, 53, 1175, 9, 78, 1819, 280]","[6, 356, 33, 200, 37, 1817, 1818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 139, 53, 1175, 9, 78, 1819, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you did not read about the company first,i did not have to it is been in business for years,"['you', 'did', 'not', 'read', 'about', 'the', 'company', 'first']","['i', 'did', 'not', 'have', 'to', 'it', 'is', 'been', 'in', 'business', 'for', 'year']","[4, 139, 53, 1175, 9, 78, 1819, 280]","[6, 139, 53, 19, 29, 33, 35, 20, 23, 573, 14, 553]","[4, 139, 53, 1175, 9, 78, 1819, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 139, 53, 19, 29, 33, 35, 20, 23, 573, 14, 553, 0, 0, 0, 0, 0, 0, 0, 0]"
i did not have to it is been in business for years,so what is the problem,"['i', 'did', 'not', 'have', 'to', 'it', 'is', 'been', 'in', 'business', 'for', 'year']","['so', 'what', 'is', 'the', 'problem']","[6, 139, 53, 19, 29, 33, 35, 20, 23, 573, 14, 553]","[18, 22, 35, 78, 17]","[6, 139, 53, 19, 29, 33, 35, 20, 23, 573, 14, 553, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 22, 35, 78, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
so what is the problem,i used all my savings on this one company,"['so', 'what', 'is', 'the', 'problem']","['i', 'used', 'all', 'my', 'saving', 'on', 'this', 'one', 'company']","[18, 22, 35, 78, 17]","[6, 833, 224, 69, 1820, 200, 175, 124, 1819]","[18, 22, 35, 78, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 833, 224, 69, 1820, 200, 175, 124, 1819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i used all my savings on this one company,you put all your eggs into one basket,"['i', 'used', 'all', 'my', 'saving', 'on', 'this', 'one', 'company']","['you', 'put', 'all', 'your', 'egg', 'into', 'one', 'basket']","[6, 833, 224, 69, 1820, 200, 175, 124, 1819]","[4, 734, 224, 247, 1693, 285, 124, 1821]","[6, 833, 224, 69, 1820, 200, 175, 124, 1819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 734, 224, 247, 1693, 285, 124, 1821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
you put all your eggs into one basket,if the company goes out of business i will have nothing,"['you', 'put', 'all', 'your', 'egg', 'into', 'one', 'basket']","['if', 'the', 'company', 'go', 'out', 'of', 'business', 'i', 'will', 'have', 'nothing']","[4, 734, 224, 247, 1693, 285, 124, 1821]","[92, 78, 1819, 28, 165, 56, 573, 6, 158, 19, 475]","[4, 734, 224, 247, 1693, 285, 124, 1821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[92, 78, 1819, 28, 165, 56, 573, 6, 158, 19, 475, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
if the company goes out of business i will have nothing,oh you will have somethingâ—you will have a lesson you will never forget,"['if', 'the', 'company', 'go', 'out', 'of', 'business', 'i', 'will', 'have', 'nothing']","['oh', 'you', 'will', 'have', 'something', '##a', '—', 'you', 'will', 'have', 'a', 'lesson', 'you', 'will', 'never', 'forget']","[92, 78, 1819, 28, 165, 56, 573, 6, 158, 19, 475]","[230, 4, 158, 19, 238, 681, 682, 4, 158, 19, 37, 1046, 4, 158, 45, 996]","[92, 78, 1819, 28, 165, 56, 573, 6, 158, 19, 475, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[230, 4, 158, 19, 238, 681, 682, 4, 158, 19, 37, 1046, 4, 158, 45, 996, 0, 0, 0, 0]"
i was going to be a doctor,what happened to your plans,"['i', 'wa', 'going', 'to', 'be', 'a', 'doctor']","['what', 'happened', 'to', 'your', 'plan']","[6, 95, 43, 29, 83, 37, 1176]","[22, 336, 29, 247, 208]","[6, 95, 43, 29, 83, 37, 1176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[22, 336, 29, 247, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
what happened to your plans,i got a d in college chemistry,"['what', 'happened', 'to', 'your', 'plan']","['i', 'got', 'a', 'd', 'in', 'college', 'chemistry']","[22, 336, 29, 247, 208]","[6, 212, 37, 1822, 23, 1161, 1823]","[22, 336, 29, 247, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 212, 37, 1822, 23, 1161, 1823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
i got a d in college chemistry,well a d is better than an f,"['i', 'got', 'a', 'd', 'in', 'college', 'chemistry']","['well', 'a', 'd', 'is', 'better', 'than', 'an', 'f']","[6, 212, 37, 1822, 23, 1161, 1823]","[44, 37, 1822, 35, 46, 111, 71, 1824]","[6, 212, 37, 1822, 23, 1161, 1823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[44, 37, 1822, 35, 46, 111, 71, 1824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
well a d is better than an f,a tutor helped me get the d,"['well', 'a', 'd', 'is', 'better', 'than', 'an', 'f']","['a', 'tutor', 'helped', 'me', 'get', 'the', 'd']","[44, 37, 1822, 35, 46, 111, 71, 1824]","[37, 1825, 717, 100, 108, 78, 1822]","[44, 37, 1822, 35, 46, 111, 71, 1824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 1825, 717, 100, 108, 78, 1822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a tutor helped me get the d,so you did not become a doctor,"['a', 'tutor', 'helped', 'me', 'get', 'the', 'd']","['so', 'you', 'did', 'not', 'become', 'a', 'doctor']","[37, 1825, 717, 100, 108, 78, 1822]","[18, 4, 139, 53, 1803, 37, 1176]","[37, 1825, 717, 100, 108, 78, 1822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 4, 139, 53, 1803, 37, 1176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
so you did not become a doctor,and now i am glad that i did not,"['so', 'you', 'did', 'not', 'become', 'a', 'doctor']","['and', 'now', 'i', 'am', 'glad', 'that', 'i', 'did', 'not']","[18, 4, 139, 53, 1803, 37, 1176]","[94, 26, 6, 7, 490, 58, 6, 139, 53]","[18, 4, 139, 53, 1803, 37, 1176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[94, 26, 6, 7, 490, 58, 6, 139, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
and now i am glad that i did not,why is that,"['and', 'now', 'i', 'am', 'glad', 'that', 'i', 'did', 'not']","['why', 'is', 'that']","[94, 26, 6, 7, 490, 58, 6, 139, 53]","[142, 35, 58]","[94, 26, 6, 7, 490, 58, 6, 139, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[142, 35, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
why is that,a hospital is the most dangerous place in the world,"['why', 'is', 'that']","['a', 'hospital', 'is', 'the', 'most', 'dangerous', 'place', 'in', 'the', 'world']","[142, 35, 58]","[37, 1241, 35, 78, 170, 1310, 1800, 23, 78, 785]","[142, 35, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 1241, 35, 78, 170, 1310, 1800, 23, 78, 785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
